Kategori,Nama Bahan,Air (gram),Energi (kal),Protein (gram),Lemak (gram),Karbohidrat (gram),Serat (gram),Harga (Rp.)
Buah,"Nanas, segar",88.9,40,0.6,0.3,9.9,0.6,
Buah,"Nangka masak pohon, segar",70.0,106,1.2,0.3,27.6,3.7,
Buah,"Pala, daging, segar",88.1,42,0.3,0.2,10.9,0.5,
Buah,"Pepaya, segar",86.7,46,0.5,12.0,12.2,1.6,
Buah,"Pisang ambon, segar",72.9,108,1.0,0.8,24.3,1.9,
Buah,"Pisang angleng (pisang ampyang), segar",80.3,68,1.3,0.2,17.2,0.8,
Buah,"Pisang ayam, segar",71.2,120,1.1,0.2,26.8,4.1,
Buah,"Pisang gapi, segar",66.3,131,1.6,0.1,31.1,11.7,
Buah,"Pisang goroho, segar",69.4,119,1.5,0.2,27.9,4.6,
Buah,"Pisang hijau, segar",68.9,121,1.0,0.1,28.9,0.4,
Buah,"Pisang kayu, segar",74.4,100,1.4,0.5,23.6,2.6,
Buah,"Pisang kepok, segar",71.9,109,0.8,0.5,26.3,5.7,
Buah,"Pisang ketip, segar",63.4,145,1.1,0.3,34.5,6.6,
Buah,"Pisang kidang, segar",75.4,96,1.0,0.2,22.5,0.6,
Buah,"Pisang lampung, segar",72.1,99,1.3,0.2,25.6,4.3,
Buah,"Pisang mas bali ampenan, segar",76.8,92,1.4,0.2,21.0,3.7,
Buah,"Pisang mas bali kopang, segar",64.2,127,1.4,0.2,31.8,3.7,
Buah,"Pisang mas, segar",64.2,127,1.4,0.2,33.6,1.4,
Buah,"Pisang raja sereh, segar",69.3,108,1.3,0.3,28.2,0.7,
Buah,"Pisang raja, segar",65.8,120,1.2,0.2,31.8,5.3,
Buah,"Pisang rotan, segar",76.1,98,1.3,1.2,20.5,1.0,
Buah,"Pisang talas, segar",71.0,113,1.2,0.2,26.7,4.4,
Buah,Pisang tujuh bulan,75.9,94,0.6,0.2,22.5,3.7,
Buah,"Pisang ua, segar",67.8,128,0.8,0.5,30.2,8.1,
Buah,"Pisang uli, segar",61.8,134,1.1,0.5,35.5,1.4,
Buah,"Purut, segar",81.1,76,4.1,1.1,15.2,1.7,
Buah,"Rambutan binjai, segar",81.0,76,0.5,0.2,18.0,3.8,
Buah,"Rambutan, segar",80.5,69,0.9,0.1,18.1,0.8,
Buah,"Salak bali, segar",85.1,57,0.5,0.1,13.6,1.3,
Buah,"Salak medan, segar",78.1,55,0.4,0.2,12.8,3.2,
Buah,"Salak pondoh, segar",77.9,87,0.8,0.4,20.1,0.0,
Buah,"Salak, segar",78.0,77,0.4,,20.9,,
Buah,"Sawo duren, segar",87.3,64,1.0,3.1,8.0,0.8,
Buah,"Sawo kecik, segar",73.8,111,0.9,2.3,21.6,1.0,
Buah,"Sawo Manila, segar",75.5,92,0.5,1.1,22.4,9.5,
Buah,"Semangka, segar",92.1,28,0.5,0.2,6.9,0.4,
Buah,"Sirsak, segar",81.7,65,1.0,0.3,16.3,3.2,
Buah,"Sowa, segar",87.7,48,1.6,0.6,9.1,45.0,
Buah,"Srikaya, segar",83.4,63,1.1,0.5,13.9,2.1,
Buah,"Sukun muda, segar",69.4,119,1.4,0.2,28.1,1.4,
Buah,"Sukun tua, segar",67.8,126,1.6,0.2,24.5,1.5,
Buah,"Vigus, segar",88.0,44,2.4,0.1,8.3,,
Buah,"Wani, segar",81.2,74,0.8,0.3,17.1,3.1,
