,Kategori,Nama Bahan,Air (gram),Energi (kal),Protein (gram),Lemak (gram),Karbohidrat (gram),Serat (gram),Harga (Rp.)
0,Daging,"Anak sapi, daging, gemuk, segar",62.0,184,18.8,14.0,0.0,0.0,28000
1,Daging,"Anak sapi, daging, kurus, segar",69.0,174,19.6,10.0,0.0,0.0,20000
2,Daging,"Anak sapi, daging, sedang, segar",68.0,190,19.1,12.0,0.0,0.0,65000
3,Daging,"Angsa, daging, segar",51.1,349,16.4,31.5,0.0,0.0,17000
4,Daging,"Ayam, daging, segar",55.9,298,18.2,25.0,0.0,0.0,16000
5,Daging,"Ayam, dideh/darah, segar",82.0,75,13.8,1.9,0.7,0.0,5000
6,Daging,"Ayam, hati, segar",53.4,261,27.4,16.1,1.6,0.0,23000
7,Daging,"Bebek (itik), daging, segar",54.3,321,16.0,28.6,0.0,0.0,20000
8,Daging,"Bebek alabio, daging, segar",57.0,303,11.3,27.0,3.7,0.0,30000
9,Daging,"Belibis, daging, segar",71.3,131,20.2,4.3,2.8,0.0,80000
10,Daging,"Burung, sarang, segar",24.8,281,37.5,0.3,32.1,0.0,100000
11,Daging,"Domba, daging, gemuk, segar",55.8,317,15.7,27.7,0.0,0.0,35000
12,Daging,"Domba, daging, kurus, segar",66.3,202,17.1,14.8,0.0,0.0,25000
13,Daging,"Domba, ginjal, segar",77.8,100,16.6,3.3,1.0,0.0,13000
14,Daging,"Kambing, daging, segar",70.3,149,16.6,9.2,0.0,0.0,50000
15,Daging,"Kelinci, daging, segar",74.3,142,16.9,7.8,0.0,0.0,35000
16,Daging,"Kerbau, daging, segar",80.0,79,18.7,0.5,0.0,0.0,25000
17,Daging,"Kuda, daging, segar",76.0,113,18.1,4.1,0.9,0.0,500000
18,Daging,"Sapi, babat, segar",76.7,108,17.6,4.2,0.0,0.0,18000
19,Daging,"Sapi, daging, gemuk, segar",60.0,273,17.5,22.0,0.0,0.0,12000
20,Daging,"Sapi, daging, kurus, segar",69.0,174,19.6,10.0,0.0,0.0,25000
21,Daging,"Sapi, daging, lemak, sedang, segar",66.0,201,18.8,14.0,0.0,0.0,15000
22,Daging,"Sapi, daleman, segar",70.1,183,12.0,14.4,1.4,0.0,10000
23,Daging,"Sapi, dideh/darah",75.6,98,21.9,1.1,0.0,0.0,5000
24,Daging,"Sapi, ginjal, segar",74.9,137,15.0,8.1,0.9,0.0,40000
25,Daging,"Sapi, keleponan, segar",83.8,84,10.5,4.6,0.2,0.0,10000
26,Daging,"Sapi, liver, segar",69.7,132,19.7,3.2,6.0,0.0,30000
27,Daging,"Sapi, otak, segar",78.9,123,10.4,8.6,0.8,0.0,18000
28,Daging,"Sapi, usus, segar",76.7,126,14.0,7.2,1.5,0.0,60000
29,Daging,Ulat sagu segar,65.9,241,5.8,21.6,5.8,2.8,6000
30,Daging,"Belut, segar",81.5,70,14.6,0.8,1.0,0.0,30000
31,Daging,"Belut,laut, segar",79.5,93,12.8,1.5,6.1,0.0,25000
32,Daging,"Cumi-cumi, segar",82.2,75,16.1,0.7,0.1,0.0,28000
33,Daging,"Ikan bader, segar",66.0,193,19.0,13.0,0.0,0.0,12000
34,Daging,"Ikan balong, segar",76.5,107,16.5,3.9,1.5,0.0,15000
35,Daging,"Ikan bambangan, segar",73.7,112,20.0,1.3,3.7,0.0,7000
36,Daging,"Ikan bandeng, segar",74.0,123,20.0,4.8,0.0,0.0,19000
37,Daging,"Ikan banjar, segar",73.5,111,19.4,0.9,4.8,0.0,7500
38,Daging,"Ikan baronang, segar",80.0,78,14.5,0.6,3.7,0.0,15000
39,Daging,"Ikan batung, segar",75.7,115,14.5,4.6,4.2,0.0,22000
40,Daging,"Ikan baung, segar",74.9,123,15.1,5.5,3.3,0.0,15000
41,Daging,"Ikan bawal, segar",78.0,91,19.0,1.7,0.0,0.0,18000
42,Daging,"Ikan Belida, segar",79.2,80,14.7,1.4,2.2,0.0,20000
43,Daging,"Ikan beunteur, segar",70.0,109,17.0,4.0,0.0,0.0,11000
44,Daging,"Ikan biawan, segar",79.1,90,14.9,2.5,2.1,0.0,12000
45,Daging,"Ikan bili, segar",68.3,88,14.2,0.7,6.2,0.0,5000
46,Daging,"Ikan bubara, segar",75.5,100,14.7,2.4,4.9,0.0,10000
47,Daging,"Ikan bulan-bulan, segar",66.7,134,25.5,1.3,5.0,0.0,15000
48,Daging,"Ikan cakalang, segar",73.0,107,19.6,0.7,5.5,0.0,10000
49,Daging,"Ikan cakalang, hati, segar",73.4,120,11.3,3.9,10.0,0.0,35000
50,Daging,"Ikan cakalang, jantung, segar",76.3,116,11.2,1.2,10.2,0.0,55000
51,Daging,"Ikan cakalang, perut, segar",79.1,86,10.2,1.1,8.7,0.0,12000
52,Daging,"Ikan daun, segar",78.6,101,11.5,4.1,4.6,0.0,10000
53,Daging,"Ikan ekor kuning, segar",74.1,108,22.3,1.2,2.1,0.0,30000
54,Daging,"Ikan gabus, segar",79.6,80,16.2,0.5,2.6,0.0,5000
55,Daging,"Ikan heu, segar",75.6,81,10.0,1.6,6.6,0.0,15000
56,Daging,"Ikan hitam, segar",78.2,101,10.3,3.7,6.7,0.0,15000
57,Daging,"Ikan hiu, segar",85.7,57,10.7,0.3,2.2,0.0,40000
