Kategori;Nama Bahan;Air (gram);Energi (kal);Protein (gram);Lemak (gram);Karbohidrat (gram);Serat (gram);Harga (Rp.)
Kacang dan Olahan;Tahu telur;418;328;126;199;246;4;4000
Kacang dan Olahan;Takwa;722;148;138;85;40;0;4000
Kacang dan Olahan;Tauco;540;184;114;55;222;19;4000
Kacang dan Olahan;Tauco cap beruang, cake;114;347;74;52;676;32;4500
Kacang dan Olahan;Tauco cap DAS, cake;102;358;75;43;704;31;4500
Kacang dan Olahan;Tauco cap meong;597;159;74;49;213;16;4500
Kacang dan Olahan;Tauji cap singa;304;277;91;47;496;12;4500
Kacang dan Olahan;Tempe bongkrek;725;119;44;35;183;;3500
Kacang dan Olahan;Tempe gembus P3G;819;73;57;13;103;42;3500
Kacang dan Olahan;Tempe gembus yogya;807;76;68;7;106;53;3500
Kacang dan Olahan;Tempe kacang babi;640;139;125;8;219;18;4000
Kacang dan Olahan;Tempe kacang belimbing;582;212;175;100;129;29;4000
Kacang dan Olahan;Tempe kedelai + jagung;706;143;120;55;114;19;4000
Kacang dan Olahan;Tempe kedelai murni, goreng;368;350;245;266;104;42;4000
Kacang dan Olahan;Tempe kedelai murni, mentah;553;201;208;88;135;14;3500
Kacang dan Olahan;Tempe koro benguk;640;141;102;13;232;;4000
Kacang dan Olahan;Tempe lamtoro;668;128;107;5;213;71;3500
Kacang dan Olahan;Tempe lamtoro var, gung dengan kulit;651;146;117;23;196;76;3500
Kacang dan Olahan;Tempe lamtoro var, gung tanpa kulit;671;131;180;8;130;13;3500
Kacang dan Olahan;Tempe pasar;683;150;140;77;91;14;3500
Kacang dan Olahan;Tempe pasar goreng;429;336;200;280;78;34;4000
Kacang dan Olahan;Tepung hunkwe (pati kacang ijo);100;364;45;10;835;161;4000
Kacang dan Olahan;Tepung Jalejo;100;388;190;75;612;58;4000
Kacang dan Olahan;Tepung kacang kedelai;90;347;359;206;299;58;4000
Serealia dan Olahan;Beras giling, mentah;120;357;84;17;771;2;2500
Serealia dan Olahan;Beras giling var pelita, mentah;114;369;95;14;771;4;2500
Serealia dan Olahan;Beras giling var rojolele, mentah;120;357;84;17;771;2;2500
Serealia dan Olahan;Beras hitam, mentah;129;351;80;13;769;201;3000
Serealia dan Olahan;Beras jagung kuning, kering, mentah;108;358;55;1;827;100;2000
Serealia dan Olahan;Beras jagung putih, kering, mentah;225;307;48;1;718;100;2000
Serealia dan Olahan;Beras ketan hitam tumbuk, mentah;137;360;80;23;745;10;3000
Serealia dan Olahan;Beras ketan putih tumbuk, mentah;129;361;74;8;784;4;2500
Serealia dan Olahan;Beras ladang, mentah;98;376;75;38;780;59;2500
Serealia dan Olahan;Beras menir, mentah;120;362;77;44;730;2;2000
Serealia dan Olahan;Beras parboiled;100;353;68;6;800;5;2500
Serealia dan Olahan;Beras tumbuk, mentah;115;354;78;4;799;38;2500
Serealia dan Olahan;Beras tumbuk merah, mentah;146;352;73;9;762;8;2500
Serealia dan Olahan;Cantel, mentah;110;366;110;33;730;12;3000
Serealia dan Olahan;Jagung muda, kuning, mentah;618;147;51;7;315;13;2000
Serealia dan Olahan;Jagung kuning pipil, kering, mentah;115;366;98;73;691;22;2000
Serealia dan Olahan;Jagung pipil var, harapan, kering;113;367;62;51;762;26;2000
Serealia dan Olahan;Jagung pipil var, metro, kering;106;368;55;46;780;29;2000
Serealia dan Olahan;Jali, mentah;230;324;110;40;610;31;3000
Serealia dan Olahan;Jawawut, mentah;119;364;97;35;734;82;3000
Serealia dan Olahan;Jampang huma, mentah;117;350;62;14;782;17;3000
Serealia dan Olahan;Nasi;567;180;30;3;398;2;2500
Serealia dan Olahan;Nasi tim;710;120;24;4;260;5;3000
Serealia dan Olahan;Beras, tapai;755;99;17;3;224;0;2500
Serealia dan Olahan;Beras, tepung, mentah;120;353;70;5;800;24;3000
Serealia dan Olahan;Beras merah, Nasi;640;149;28;4;325;3;2500
Serealia dan Olahan;Bihun, mentah;129;348;47;1;821;12;3000
Serealia dan Olahan;Bihun goreng instan;90;381;61;39;803;;3500
Serealia dan Olahan;Bihun Jagung, mentah;113;354;5;3;874;30;3000
Serealia dan Olahan;Jagung nasi, mentah;110;357;88;5;795;62;2500
Serealia dan Olahan;Jagung muda, rebus;532;142;50;7;303;8;2500
Serealia dan Olahan;Jagung kuning, tepung;120;355;92;39;737;72;2500
Serealia dan Olahan;Jagung kuning pipil, rebus;637;154;38;35;284;7;2500
Serealia dan Olahan;Jagung, tepung putih;120;355;92;39;737;72;2500
Serealia dan Olahan;Ketan, ketupat;520;212;40;46;386;2;3000
Serealia dan Olahan;Ketan hitam, matang;569;181;40;12;373;3;3000
Serealia dan Olahan;Ketan hitam, tapai;502;166;38;10;344;3;3000
Serealia dan Olahan;Ketan putih, matang;607;163;30;4;357;2;2500
Serealia dan Olahan;Ketan putih, tapai;589;172;30;5;375;6;2500
Serealia dan Olahan;Maizena, tepung;140;341;3;0;850;70;2500
Serealia dan Olahan;Makaroni, mentah;117;353;87;4;787;49;3500
Serealia dan Olahan;Mi basah;800;88;6;33;140;1;3000
Serealia dan Olahan;Mi kering;106;339;100;17;63;4;3500
Serealia dan Olahan;Misoa;100;345;85;22;780;5;3500
Serealia dan Olahan;Roti putih;400;248;80;12;500;91;3500
Serealia dan Olahan;Tepung terigu;118;333;90;10;772;3;2500
Umbi-umbian dan Olahan;Arrowroot, segar;735;102;10;2;241;17;3000
Umbi-umbian dan Olahan;Batatas gembili, segar;767;76;11;9;160;42;3000
Umbi-umbian dan Olahan;Batatas kelapa, ubi, segar;761;89;11;1;210;40;3000
Umbi-umbian dan Olahan;Belitung, talas, segar;631;145;12;4;342;15;3000
Umbi-umbian dan Olahan;Bengkuang, segar;851;59;14;2;128;10;2500
Umbi-umbian dan Olahan;Bentul (Komba), talas, segar;758;98;16;7;209;7;3000
Umbi-umbian dan Olahan;Gadeng/Gadung, kering;202;322;24;6;766;;3500
Umbi-umbian dan Olahan;Gadung, ubi, segar;744;100;9;3;235;21;3000
Umbi-umbian dan Olahan;Ganyong, segar;799;77;6;2;184;8;3000
Umbi-umbian dan Olahan;Gembili, ubi, segar;664;131;11;2;313;11;3000
Umbi-umbian dan Olahan;Hofa/Ubi hutan, segar;679;127;12;5;295;34;3000
Umbi-umbian dan Olahan;Kaburan, ubi, segar;665;133;10;2;322;7;3000
Umbi-umbian dan Olahan;Kentang, segar;834;62;21;2;135;5;2500
Umbi-umbian dan Olahan;Kentang hitam, segar;640;142;9;4;337;54;3000
Umbi-umbian dan Olahan;Keribang, ubi, segar;670;137;13;11;298;6;3000
Umbi-umbian dan Olahan;Ketela pohon/ singkong, segar;614;154;10;3;368;9;2500
Umbi-umbian dan Olahan;Lepok/Ubi rumput;553;181;28;12;398;107;3000
Umbi-umbian dan Olahan;Sagu aren, kering;119;355;6;11;856;3;3500
Umbi-umbian dan Olahan;Sagu aren, segar;425;231;6;2;566;32;3000
Umbi-umbian dan Olahan;Sagu kasbi segar;425;230;6;2;565;30;3000
Umbi-umbian dan Olahan;Sagu lempeng;135;347;9;3;852;47;3500
Umbi-umbian dan Olahan;Sagu singkong, kering;120;362;5;3;869;;3000
Umbi-umbian dan Olahan;Sente, talas, segar;140;353;7;2;847;66;3000
Umbi-umbian dan Olahan;Suweg, talas, segar;801;74;14;1;172;14;3000
Umbi-umbian dan Olahan;Talas bogor, segar;724;108;14;4;250;9;3000
Umbi-umbian dan Olahan;Talas pontianak, segar;600;163;23;5;364;7;3000
Umbi-umbian dan Olahan;Talas viqueque, segar;706;115;18;5;259;86;3000
Umbi-umbian dan Olahan;Ubi jalar, kuning, segar;726;119;5;4;251;42;3000
Umbi-umbian dan Olahan;Ubi jalar manis, segar;784;83;15;2;188;6;3000
Umbi-umbian dan Olahan;Ubi jalar merah, segar;619;151;16;3;354;7;3000
Umbi-umbian dan Olahan;Ubi jalar putih, segar;778;88;4;4;206;40;3000
Umbi-umbian dan Olahan;Ubi jalar tinta/ kemayung;725;108;5;4;256;42;3000
Umbi-umbian dan Olahan;Umbi Uwi, segar;697;120;28;5;823;26;3000
Umbi-umbian dan Olahan;Kerupuk cumi goreng;34;444;69;146;713;50;4000
Umbi-umbian dan Olahan;Kerupuk kemplang (ikan) mentah;142;325;18;4;785;45;3500
Umbi-umbian dan Olahan;Kerupuk kemplang goreng;58;504;56;281;571;3;4000
Umbi-umbian dan Olahan;Kerupuk kemplang panggang;94;356;97;11;769;10;4000
Umbi-umbian dan Olahan;Kerupuk mie kuning goreng;72;476;1;211;713;42;3500
Umbi-umbian dan Olahan;Kerupuk udang goreng;44;477;47;205;685;50;4000
Umbi-umbian dan Olahan;Kue bangket;161;338;15;12;803;;3500
Umbi-umbian dan Olahan;Kue putu singkong;442;217;12;5;532;24;3500
Umbi-umbian dan Olahan;Lanting getuk;42;422;9;108;804;14;3500
Umbi-umbian dan Olahan;Mi golosor;829;71;2;8;159;1;3500
Umbi-umbian dan Olahan;Mie Bendo;115;353;3;0;880;24;3500
Umbi-umbian dan Olahan;Mie Sagu;528;190;2;4;465;14;3500
Umbi-umbian dan Olahan;Ongol-ongol sagu;753;111;3;27;212;3;3500
Umbi-umbian dan Olahan;Oyek;126;351;9;9;849;43;3000
Umbi-umbian dan Olahan;Papeda;848;61;2;1;149;5;3000
Umbi-umbian dan Olahan;Rasbi (Beras Ubi);111;394;22;88;766;68;3000
Umbi-umbian dan Olahan;Rasi (Beras Singkong);126;350;9;4;857;144;3000
Umbi-umbian dan Olahan;Sagu forno;315;291;5;40;634;;3500
Umbi-umbian dan Olahan;Sagu Lemak (Kue Sagon);43;452;28;148;768;11;3500
Umbi-umbian dan Olahan;Sagu manis;326;287;5;39;624;;3500
Umbi-umbian dan Olahan;Sagu Rendang;82;364;1;2;905;19;3500
Umbi-umbian dan Olahan;Sagu sinole;220;354;8;83;689;;3500
Umbi-umbian dan Olahan;Tepung Arrowroot;136;355;7;2;852;4;4000
Umbi-umbian dan Olahan;Tepung Ganyong;136;353;8;17;836;7;4000
Umbi-umbian dan Olahan;Tepung Gaplek;130;345;24;4;831;67;3500
Umbi-umbian dan Olahan;Tepung kentang, kering;130;347;3;1;856;4;4000
Umbi-umbian dan Olahan;Tepung Mocaf;119;350;12;6;850;60;4000
Umbi-umbian dan Olahan;Tepung Sente;153;326;40;4;767;85;4000
Umbi-umbian dan Olahan;Tepung singkong/ Tapioka;91;363;11;5;882;9;3500
Umbi-umbian dan Olahan;Tepung Tales Beneng;122;332;57;6;761;122;4000
Umbi-umbian dan Olahan;Tepung Ubi Ungu;94;354;28;6;844;129;4000
Susu;Kepala susu - krim, segar;725;204;26;200;40;0;3000
Susu;Susu ibu - ASI;881;62;15;32;70;0;0
Susu;Susu kambing, segar;859;64;43;23;66;0;2500
Susu;Susu kerbau, segar;738;160;63;120;71;;2000
Susu;Susu kuda, segar;910;40;20;11;54;0;3000
Susu;Susu sapi, segar;883;61;32;35;43;0;1800
Susu;Susu asam untuk bayi, bubuk;25;418;190;90;655;0;5000
Susu;Susu bubuk;35;513;246;300;362;0;4500
Susu;Susu kental manis;250;343;82;100;550;0;2500
Susu;Susu kental tak manis;737;138;70;79;99;;2500
Susu;Susu skim, bubuk;35;359;356;10;520;0;5500
Susu;Susu skim, segar;905;36;35;1;51;;2500
Susu;Yoghurt, segar;880;52;33;25;40;0;4000
